id,name,party,option_meaning
5462abeca87408609940ed6d,Jana Pastuchová,ANO,for
5462abdfa87408609940ea4b,Jaroslava Jermanová,ANO,for
5462abf0a87408609940ee91,Igor Nykl,ANO,for
5462abf2a87408609940ef03,Martin Stropnický,ANO,for
5462abf6a87408609940efb7,Martin Kolovratník,ANO,for
5462abe9a87408609940ecc1,Jana Lorencová,ANO,for
5462abeca87408609940ed7d,Bohuslav Chalupa,ANO,for
5462abf1a87408609940eecf,Ivana Dobešová,ANO,for
5462abe7a87408609940ec35,Josef Hájek,ANO,for
5462abe9a87408609940eccb,Roman Procházka,ANO,for
5462abf0a87408609940ee85,Rostislav Vyzula,ANO,for
5462abf6a87408609940efd7,Ladislav Okleštěk,ANO,for
5462abefa87408609940ee33,Richard Brabec,ANO,for
5462abe1a87408609940eabd,Kristýna Zelienková,ANO,for
5462abe8a87408609940ec9b,Zdeněk Soukup,ANO,for
5462abeaa87408609940ecfd,Karel Rais,ANO,for
5462abeca87408609940ed91,Pavel Šrámek,ANO,for
5462abf2a87408609940ef01,Miloslav Janulík,ANO,for
5462abf8a87408609940f02f,Josef Kott,ANO,for
5462abf8a87408609940f043,Vlastimil Vozka,ANO,for
5462abf8a87408609940f04d,Jaroslav Faltýnek,ANO,for
5462abeaa87408609940ecf1,Bronislav Schwarz,ANO,for
5462abeda87408609940ede5,David Kasal,ANO,for
5462abeba87408609940ed41,Stanislav Pfléger,ANO,for
5462abe5a87408609940ebab,Pavel Volčík,ANO,for
5462abe9a87408609940ecd1,Radek Vondráček,ANO,for
5462abeea87408609940eded,Milan Brázdil,ANO,for
5462abe5a87408609940ebd9,Miloš Babiš,ANO,for
5462abe6a87408609940ec03,Martin Sedlář,ANO,for
5462abfaa87408609940f0a9,Martin Komárek,ANO,for
5462abe9a87408609940ecb3,Pavel Plzák,ANO,for
5462abe4a87408609940eb7b,František Adámek,ČSSD,for
5462abeea87408609940ee13,Petr Kořenek,ČSSD,for
5462abe4a87408609940eb81,Dana Váhalová,ČSSD,for
5462abefa87408609940ee27,Vítězslav Jandák,ČSSD,for
5462abf7a87408609940effd,Roman Váňa,ČSSD,for
5462abe6a87408609940ec01,Adam Rykala,ČSSD,for
5462abe7a87408609940ec39,Richard Dolejš,ČSSD,for
5462abf4a87408609940ef4b,Václav Zemek,ČSSD,for
5462abeba87408609940ed2d,Václav Klučka,ČSSD,for
5462abf2a87408609940eeeb,Lubomír Toufar,ČSSD,for
5462abe1a87408609940eaeb,Pavel Holík,ČSSD,for
5462abefa87408609940ee49,Pavel Antonín,ČSSD,for
5462abe4a87408609940eb9f,Zuzana Kailová,ČSSD,for
5462abeaa87408609940ecfb,Jan Chvojka,ČSSD,for
5462abe0a87408609940ea93,Roman Sklenák,ČSSD,for
5462abe4a87408609940eb83,Jiří Zemánek,ČSSD,for
5462abe0a87408609940ea91,Jaroslav Foldyna,ČSSD,for
5462abeaa87408609940ed0f,Vlasta Bohdalová,ČSSD,for
5462abe4a87408609940eb87,Bohuslav Sobotka,ČSSD,for
5462abeaa87408609940ed21,Zdeněk Syblík,ČSSD,for
5462abf9a87408609940f077,Jan Hamáček,ČSSD,for
5462abe3a87408609940eb47,Antonín Seďa,ČSSD,for
5462abf2a87408609940eee3,Pavel Havíř,ČSSD,for
5462abf3a87408609940ef1b,Lubomír Zaorálek,ČSSD,for
5462abf9a87408609940f069,Pavel Ploc,ČSSD,for
5462abf6a87408609940efdb,Jiří Petrů,ČSSD,for
5462abf0a87408609940ee8b,Igor Jakubčík,ČSSD,for
5462abdfa87408609940ea2d,Robin Böhnisch,ČSSD,for
5462abe9a87408609940ecbd,Václav Votava,ČSSD,for
5462abe5a87408609940ebb5,Jiří Běhounek,ČSSD,for
5462abf1a87408609940eea7,Lukáš Pleticha,ČSSD,for
5462abe7a87408609940ec33,Jan Birke,ČSSD,for
5462abe9a87408609940ecb1,Petr Adam,Úsvit,for
5462abe5a87408609940ebad,Karel Fiedler,Úsvit,for
5462abe5a87408609940ebb3,Augustin Karel Andrle Sylor,Úsvit,for
5462abe6a87408609940ec07,Olga Havlová,Úsvit,for
5462abf8a87408609940f02d,Jiří Štětina,Úsvit,for
5462abeba87408609940ed43,Karel Pražák,Úsvit,for
5462abf0a87408609940ee63,Jaroslav Holík,Úsvit,for
5462abe3a87408609940eb73,Milan Šarapatka,Úsvit,for
5462abf4a87408609940ef45,Michal Kučera,TOP 09,for
5462abfba87408609940f0db,Věra Kovářová,TOP 09,for
5462abeea87408609940ee03,Jitka Chalánková,TOP 09,for
5462abf4a87408609940ef5d,Jaroslav Lobkowicz,TOP 09,for
5462abf3a87408609940ef11,Leoš Heger,TOP 09,for
5462abf1a87408609940ee9d,Helena Langšádlová,TOP 09,for
5462abe8a87408609940ec73,Martin Plíšek,TOP 09,for
5462abe6a87408609940ec05,František Laudát,TOP 09,for
5462abf9a87408609940f071,Anna Putnová,TOP 09,for
5462abe7a87408609940ec19,Markéta Adamová,TOP 09,for
5462abfba87408609940f0cf,Václav Horáček,TOP 09,for
5462abe1a87408609940eabb,Rom Kostřica,TOP 09,for
5462abf6a87408609940efc7,Zdeněk Bezecný,TOP 09,for
5462abeba87408609940ed4b,Gabriela Pecková,TOP 09,for
5462abeda87408609940edd3,Nina Nováková,TOP 09,for
5462abf0a87408609940ee7d,Karel Schwarzenberg,TOP 09,for
5462abfaa87408609940f0a5,Josef Uhlík,KDU-ČSL,for
5462abe1a87408609940eab5,Jaroslav Klaška,KDU-ČSL,for
5462abf6a87408609940efe9,Ivan Gabal,KDU-ČSL,for
5462abe1a87408609940eae7,Ondřej Benešík,KDU-ČSL,for
5462abefa87408609940ee37,Jan Bartošek,KDU-ČSL,for
5462abe5a87408609940ebdb,Tomáš Jan Podivínský,KDU-ČSL,for
5462abeda87408609940edc5,Daniel Herman,KDU-ČSL,for
5462abe8a87408609940ec99,Jiří Mihola,KDU-ČSL,for
5462abf0a87408609940ee6f,Vít Kaňkovský,KDU-ČSL,for
5462abf1a87408609940eeb1,Jiří Junek,KDU-ČSL,for
5462abf8a87408609940f049,Petr Kudela,KDU-ČSL,for
5462abefa87408609940ee61,Ludvík Hovorka,KDU-ČSL,for
